AssetIDNo,Building,CSI,CSI Div,Callout,Campus,ClassBlanket,ClassCompliance,ClassCondition,ClassInterconnect,ClassPriority,ClassWarranty,CostEstimateatStart,Currently Indiv item tracked?,Currently Waldrop ID Tag?,DistrictResponsible,EqWarranty,EqWarrantyDigital,EqWarrantyDuration,EqWarrantyExpires,EqWarrantyStarts,FAIDNo,Floor,Fusion#,GeneralvsFixed,Item,Item a Consumable ?,Latitude,LifeCycleDuration,LifeCycleExpires,Longitide,Make,Model,OM,OMBinderNo,OMDigital,OMTabNo,OrigContract,OrigContractor,Project,Project#,ProjectName,Recommend Indiv item Tracking?,Recommend Waldrop ID Tag?,Room,RoomName,SerialNo,ServiceContract,ServiceContractCo,Sheet,SubGroup01,SubGroup02,SubGroup03,SubGroup04,Submittal,SubmittalDigital,Takeoff,Unnamed: 51,Unnamed: 52,Unnamed: 54,Unnamed: 57,sheet
,,14-Conveying-Equip,14,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Elevator,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,14-Conveying-Equip,14,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Elevator Room Equipment,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,,14-Conveying-Equip,14,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Wheelchair Lift,No,,,,,,,TBD,,,,,,,11110.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11110
,Voc Tech,14-Conveying-Equip,14,,City,,,,,,,,Yes,No,,TBD,,,,,,,24.0,,Elevator,No,,,,,,,TBD,,,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,,No,,,,,11220
,Voc Tech,14-Conveying-Equip,14,,City,,,,,,,,Yes,No,,TBD,,,,,,,24.0,,Elevator Room Equipment,No,,,,,,,TBD,,,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,,No,,,,,11220
,Voc Tech,14-Conveying-Equip,14,,City,,,,,,,,Yes,No,,TBD,,,,,,,24.0,,Wheelchair Lift,No,,,,,,,TBD,,,,,,11220.0,,Career Technology Center,Yes,No,,,,,,,,,,,TBD,,No,,,,,11220
,,14-Conveying-Equip,14,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Elevator,No,,,,,,,TBD,,,,,,,11240.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11240
,,14-Conveying-Equip,14,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Elevator Room Equipment,No,,,,,,,TBD,,,,,,,11240.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11240
,,14-Conveying-Equip,14,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Wheelchair Lift,No,,,,,,,TBD,,,,,,,11240.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11240
,,14-Conveying-Equip,14,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Elevator,No,,,,,,,TBD,,,,,,,11250.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11250
,,14-Conveying-Equip,14,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Elevator Room Equipment,No,,,,,,,TBD,,,,,,,11250.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11250
,,14-Conveying-Equip,14,,City,,,,,,,,Yes,No,,TBD,,,,,,,,,Wheelchair Lift,No,,,,,,,TBD,,,,,,,11250.0,,Yes,No,,,,,,,,,,,TBD,,,,,,,11250
